timestamp,latitude,longitude,altitude,heading,pitch,roll,ve,vn,vu,ae,an,au,vheading,vpitch,vroll
1783590222000,48.055324,170.341972,3353.771200,80.230000,6.960000,-4.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590223000,48.055484,170.342849,3360.339400,78.280000,6.520000,-4.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590224000,48.055564,170.343231,3363.223000,77.790000,6.590000,-5.160000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590225000,48.055694,170.343818,3367.708600,76.190000,6.670000,-7.080000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590226000,48.055839,170.344406,3372.034000,74.760000,5.860000,-5.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590227000,48.055915,170.344680,3373.956400,74.190000,6.290000,-4.990000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590228000,48.056056,170.345169,3377.160400,74.030000,5.930000,-5.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590228000,48.056198,170.345634,3380.684800,73.490000,6.210000,-4.460000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590228000,48.056385,170.346214,3385.651000,71.500000,6.640000,-4.910000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590228000,48.056510,170.346588,3389.175400,70.480000,7.690000,-3.790000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590233000,48.056678,170.347061,3393.500800,69.390000,7.560000,-5.160000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590234000,48.056850,170.347511,3398.146600,68.960000,8.370000,-4.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590235000,48.057029,170.347969,3402.632200,67.440000,7.600000,-5.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590236000,48.057292,170.348602,3408.399400,65.100000,7.890000,-5.730000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590236000,48.057605,170.349296,3413.365600,62.980000,7.200000,-4.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590237000,48.057693,170.349479,3414.647200,62.520000,6.760000,-4.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590238000,48.057949,170.350006,3417.530800,61.730000,6.320000,-5.590000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590239000,48.058120,170.350341,3419.293000,60.790000,6.540000,-5.580000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
